date,platform,item_id,sku_id,product_name,brand_name,brand_raw,seller_name,seller_id,category,subcategory,platform_category_ids,retail_price,promo_price,discount_pct,currency,units_sold,units_sold_raw,rating,review_count,in_stock,is_sponsored,location,url,query_bucket,collected_at
2026-09-05,lazada,5384764246,22868599839,Popoo Probiotic Bites for Dogs Gut Health Dog Treats for Digestive Care Dog Supplement อาหารเสริมสุนัข ทุกวัย ขนมสุนัข บํารุงเส้นขนและผิวหนัง 120 ชิ้น,Popoo,Popoo,POPOO Healthy Shop,100907632216,Supplements,All Probiotic (search),6277|10100629|3705|2971,2490.0,380.86,84.7,THB,7700,7.7K ชิ้น,4.99,2546,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i5384764246.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,4889019150,20576079153,Posh Medica Probiotics C Hair พอช เมดิก้า โพรไบโอติก ซี แฮร์ [6 ซอง][MC Plus แมค พลัส เดิม],Posh Medica,Posh Medica,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8971|8974,305.0,147.0,51.8,THB,3200,3.2K ชิ้น,4.98,975,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4889019150.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,4983681330,21010267804,( 30 + 30 ฟรี 14 เม็ด ) VISTRA VITAL-PRO Daily Complete Probiotics ( 30 Capsules) วิสทร้า ไวเทิล-โปร เดลี่ คอมพลีท โพรไบโอติกส์ ( 30 แคปซูล ),Vistra,VISTRA,VISTRA,314,Supplements,All Probiotic (search),10100869|4087|8977|8982,830.0,821.7,1.0,THB,2900,2.9K ชิ้น,4.99,1059,yes,no,นนทบุรี,https://www.lazada.co.th/products/pdp-i4983681330.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,5586249688,23766950156,VISTRA VITAL-PRO Daily Complete Probiotics ( 30 Capsules) x 1 Bots วิสทร้า ไวเทิล-โปร เดลี่ คอมพลีท โพรไบโอติกส์ ( 30 แคปซูล ),Vistra,VISTRA,VISTRA,314,Supplements,All Probiotic (search),10100869|4087|8977|8982,830.0,830.0,0.0,THB,2100,2.1K ชิ้น,4.98,720,yes,no,นนทบุรี,https://www.lazada.co.th/products/pdp-i5586249688.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,151396855,176986425,💥ส่งฟรี !!💥(ซื้อคู่=60 แคปซูล) VITAMORES Probio-Capsule ผลิตภัณฑ์เสริมอาหาร โพไบโอติก ชนิดแคปซูล เพื่อนแท้ของระบบทางเดินอาหาร 1 กระปุก บรรจุ 30 แคปซูล,Vitamores,Vitamores,Vita Supplements,100076682,Supplements,All Probiotic (search),10100869|4087|8977|8982,698.0,295.0,57.7,THB,2100,2.1K ชิ้น,4.97,958,yes,no,สระบุรี,https://www.lazada.co.th/products/pdp-i151396855.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,5383371853,22879455698,WITAL S+BIOTIC เจลลี่โพรไบโอติกส์ ปรับสมดุลลําไส้ คุมหิว เสริมระบบภูมิคุ้มกัน,Wital Thailand,Wital Thailand,WITAL,100195785208,Supplements,All Probiotic (search),10100869|4087|8977|8982,1780.0,980.0,44.9,THB,1500,1.5K ชิ้น,5.0,492,yes,no,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i5383371853.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,5602658359,23836457252,PP Pet อัพเกรด โปรไบโอติกสัตว์เลี้ยง 1ซอง 10ซอง ซองละ 5g เพื่อดูแลสุนัขและแมวเกี่ยวกับทางเดินอาหาร โปรไบโอติก สําหรับสัตว์เลี้ยง,Unbranded,No Brand,PP Pet Mall,100430592511,Supplements,All Probiotic (search),6277|10100629|3705|3725,99.0,65.0,34.3,THB,1400,1.4K ชิ้น,4.92,356,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5602658359.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,4510136006,18294265371,Bomi 16.8 Balance Probiotics โบมิ บาลานซ์ โพรไบโอติกส์ [3 กล่อง] ไฟเบอร์ ซิงค์ วิตามินซี,Bomi,Bomi,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8971|8975,1560.0,1111.0,28.8,THB,1000,1.0K ชิ้น,4.98,385,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4510136006.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,6071277077,26399323615,Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (5Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (50g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ0g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ,Unbranded,No Brand,Pethealer,101262320547,Supplements,All Probiotic (search),6277|10100629|3705|13730,199.0,119.0,40.2,THB,860,860 ชิ้น,4.98,289,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i6071277077.html,catalog|probiotic,2026-09-05T12:15:31
2026-09-05,lazada,5641433767,24027916890,แบรนด์ อินเนอร์ไชน์โพรไบโอ เอส 30 ซอง โพรไบโอติก,BRAND'S,BRAND'S,Brand's Suntory,100180131099,Supplements,All Probiotic (search),10100869|4087|8977|13699,1280.0,1159.0,9.5,THB,688,688 ชิ้น,4.99,236,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5641433767.html,catalog|probiotic,2026-09-05T12:15:31
