date,platform,item_id,sku_id,product_name,brand_name,brand_raw,seller_name,seller_id,category,subcategory,platform_category_ids,retail_price,promo_price,discount_pct,currency,units_sold,units_sold_raw,rating,review_count,in_stock,is_sponsored,location,url,query_bucket,collected_at
2026-09-02,lazada,6050190181,127556711722,kissport | ลูกอมไร้น้ําตาล ลมหายใจหอมสดชื่น ลูกอมโพรไบโอติกส์ ช่วยปรับสมดุลลําไส้ และแก้เจ็บคอ,kissport,kissport,Snack Concept Store,100218375964,Supplements,All Probiotic (search),7587|14500|14540|14539,1167.0,824.0,29.4,THB,12000,12.0K ชิ้น,5.0,103,yes,no,Hong Kong,https://www.lazada.co.th/products/pdp-i6050190181.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,5384764246,22868599839,Popoo Probiotic Bites for Dogs Gut Health Dog Treats for Digestive Care Dog Supplement อาหารเสริมสุนัข ทุกวัย ขนมสุนัข บํารุงเส้นขนและผิวหนัง 120 ชิ้น,Popoo,Popoo,POPOO Healthy Shop,100907632216,Supplements,All Probiotic (search),6277|10100629|3705|2971,2490.0,389.0,84.4,THB,7700,7.7K ชิ้น,4.99,2538,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i5384764246.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4876417579,21485542068,Labbiome Probiotics - โปรไบโอติก จุลินทรีย์ชนิดดี,LABLIBRARY,LABLIBRARY,lablibraryofficial,100438912112,Supplements,All Probiotic (search),10100869|4087|8977|8982,690.0,569.0,17.5,THB,1700,1.7K ชิ้น,4.98,657,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4876417579.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,5931310990,25405955569,โพรไบโอติกสําหรับสัตว์เลี้ยง 10แพ็ค/กล่อง (สินค้าพร้อมในประเทศไทย),Unbranded,No Brand,Pethealer,101262320547,Supplements,All Probiotic (search),6277|10100888|13754,299.0,179.0,40.1,THB,1100,1.1K ชิ้น,4.95,397,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5931310990.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,6071277077,26399323615,Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (5Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (50g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ0g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ,Unbranded,No Brand,Pethealer,101262320547,Supplements,All Probiotic (search),6277|10100629|3705|13730,199.0,119.0,40.2,THB,858,858 ชิ้น,4.98,287,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i6071277077.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4456304619,17934073148,ผลิตภัณฑ์เสริมอาหาร Medileen Prerotic NX รสชาน้ําผึ้งมะนาว เมดิลีน โปรไบโอติก พรีโรติค Detox ล้างสารพิษในลําไส้ ปรับระบบขับถ่าย ฟื้นฟูเซลล์ผิว,Medileen,Medileen,Medileen,100317024566,Supplements,All Probiotic (search),10100869|4087|8977|8982,1500.0,1300.0,13.3,THB,831,831 ชิ้น,4.97,222,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4456304619.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4294360534,17068536523,[3 กล่อง] Posh Medica Probiotics พอช เมดิก้า โพรไบโอติก [6 ซอง] ไฟเบอร์ โพรไบโอติค [MC Plus แมค พลัส เดิม],Posh,Posh,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8956|13697,693.0,421.0,39.2,THB,717,717 ชิ้น,4.96,200,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4294360534.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,5641433767,24027916890,แบรนด์ อินเนอร์ไชน์โพรไบโอ เอส 30 ซอง โพรไบโอติก,BRAND'S,BRAND'S,Brand's Suntory,100180131099,Supplements,All Probiotic (search),10100869|4087|8977|13699,1280.0,1159.0,9.5,THB,688,688 ชิ้น,4.99,236,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5641433767.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4977218397,20966704334,MEMBERK Vita Probiotics 10 Sachets ผลิตภัณฑ์เสริมอาหารโพรไบโอติกส์,Konvy,Konvy,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,200.0,119.0,40.5,THB,524,524 ชิ้น,4.92,185,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4977218397.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4039243579,15709313205,เซ็ต 2 ขวด โพรไบโอติกจากญี่ปุ่น Probiotic + Prebiotic ตัวช่วยบํารุงลําไส้ ระบบขับถ่าย ขนาด 30 แคปซูล,Beyond,Beyond,Beyond Brand,100190364179,Supplements,All Probiotic (search),10100869|4087|8977|8982,1200.0,640.0,46.7,THB,515,515 ชิ้น,4.94,172,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4039243579.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4889065040,20576086528,[5 กล่อง] Posh Medica Probiotics C Hair พอช เมดิก้า โพรไบโอติก ซี แฮร์ [6 ซอง][MC Plus แมค พลัส เดิม],Posh Medica,Posh Medica,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8971|8974,1155.0,719.0,37.7,THB,418,418 ชิ้น,4.98,163,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4889065040.html,catalog|probiotic,2026-09-02T12:26:55
2026-09-02,lazada,4977525066,20968794966,Labbiome Probiotics 2 กล่อง - โปรไบโอติก จุลินทรีย์ชนิดดี,LABLIBRARY,LABLIBRARY,lablibraryofficial,100438912112,Supplements,All Probiotic (search),10100869|4087|8977|8982,1380.0,1230.0,10.9,THB,405,405 ชิ้น,4.99,165,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4977525066.html,catalog|probiotic,2026-09-02T12:26:55
