date,platform,item_id,sku_id,product_name,brand_name,brand_raw,seller_name,seller_id,category,subcategory,platform_category_ids,retail_price,promo_price,discount_pct,currency,units_sold,units_sold_raw,rating,review_count,in_stock,is_sponsored,location,url,query_bucket,collected_at
2026-09-03,lazada,6050190181,127556711727,kissport | ลูกอมไร้น้ําตาล ลมหายใจหอมสดชื่น ลูกอมโพรไบโอติกส์ ช่วยปรับสมดุลลําไส้ และแก้เจ็บคอ,kissport,kissport,Snack Concept Store,100218375964,Supplements,All Probiotic (search),7587|14500|14540|14539,1157.0,817.0,29.4,THB,12000,12.0K ชิ้น,5.0,103,yes,no,Hong Kong,https://www.lazada.co.th/products/pdp-i6050190181.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4457679455,17945135997,Clover Plus Probiotic Plus โคลเวอร์พลัส โพรไบโอติก พลัส พรีไบโอติก 1 กระปุก (30 แคปซูล),Clover Plus,Clover Plus,CloverPlus,100103370,Supplements,All Probiotic (search),10100869|4087|8977|8982,450.0,159.0,64.7,THB,10200,10.2K ชิ้น,4.97,3309,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4457679455.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5384764246,22868599839,Popoo Probiotic Bites for Dogs Gut Health Dog Treats for Digestive Care Dog Supplement อาหารเสริมสุนัข ทุกวัย ขนมสุนัข บํารุงเส้นขนและผิวหนัง 120 ชิ้น,Popoo,Popoo,POPOO Healthy Shop,100907632216,Supplements,All Probiotic (search),6277|10100629|3705|2971,2490.0,389.0,84.4,THB,7700,7.7K ชิ้น,4.99,2543,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i5384764246.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4889019150,20576079153,Posh Medica Probiotics C Hair พอช เมดิก้า โพรไบโอติก ซี แฮร์ [6 ซอง][MC Plus แมค พลัส เดิม],Posh Medica,Posh Medica,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8971|8974,305.0,147.0,51.8,THB,3200,3.2K ชิ้น,4.98,974,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4889019150.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5602658359,23836457252,PP Pet อัพเกรด โปรไบโอติกสัตว์เลี้ยง 1ซอง 10ซอง ซองละ 5g เพื่อดูแลสุนัขและแมวเกี่ยวกับทางเดินอาหาร โปรไบโอติก สําหรับสัตว์เลี้ยง,Unbranded,No Brand,PP Pet Mall,100430592511,Supplements,All Probiotic (search),6277|10100629|3705|3725,99.0,65.0,34.3,THB,1400,1.4K ชิ้น,4.92,356,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5602658359.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5931310990,25405955569,โพรไบโอติกสําหรับสัตว์เลี้ยง 10แพ็ค/กล่อง (สินค้าพร้อมในประเทศไทย),Unbranded,No Brand,Pethealer,101262320547,Supplements,All Probiotic (search),6277|10100888|13754,299.0,179.0,40.1,THB,1100,1.1K ชิ้น,4.95,397,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5931310990.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4730903813,19510433988,CUphar ProbioKhlear ผิวสวยสุขภาพดีเริ่มที่ลําไส้ โปรไบโอติกส์งานวิจัยเภสัชจุฬา 1 กล่อง บรรจุ 30 แคปซูล,CUphar,CUphar,ThaithonMall,100188735118,Supplements,All Probiotic (search),10100869|4087|8977|8982,1490.0,1450.0,2.7,THB,963,963 ชิ้น,4.97,409,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4730903813.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,6071277077,26399323615,Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (5Pethealer โปรไบโอติกส์ สุนัข&แมว 5g×10ซอง (50g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ0g) ผงรสนม ดูแลสมดุลลําไส้ พกง่าย พร้อมส่งกรุงเทพ,Unbranded,No Brand,Pethealer,101262320547,Supplements,All Probiotic (search),6277|10100629|3705|13730,199.0,119.0,40.2,THB,858,858 ชิ้น,4.98,288,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i6071277077.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4294360534,17068536523,[3 กล่อง] Posh Medica Probiotics พอช เมดิก้า โพรไบโอติก [6 ซอง] ไฟเบอร์ โพรไบโอติค [MC Plus แมค พลัส เดิม],Posh,Posh,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8956|13697,693.0,421.0,39.2,THB,717,717 ชิ้น,4.96,200,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4294360534.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5641433767,24027916890,แบรนด์ อินเนอร์ไชน์โพรไบโอ เอส 30 ซอง โพรไบโอติก,BRAND'S,BRAND'S,Brand's Suntory,100180131099,Supplements,All Probiotic (search),10100869|4087|8977|13699,1280.0,1159.0,9.5,THB,688,688 ชิ้น,4.99,236,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5641433767.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4977218397,20966704334,MEMBERK Vita Probiotics 10 Sachets ผลิตภัณฑ์เสริมอาหารโพรไบโอติกส์,Konvy,Konvy,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,200.0,119.0,40.5,THB,524,524 ชิ้น,4.92,185,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4977218397.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,6068019340,127313351270,Life Space B420 Probiotic Dietary Supplement Product [30 Capsules/60 Capsules] ผลิตภัณฑ์เสริมอาหารโพรไบโอติกส์ ไลฟ์ สเปซ,Konvy,Konvy,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,1290.0,835.0,35.3,THB,496,496 ชิ้น,4.98,172,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i6068019340.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4889065040,20576086528,[5 กล่อง] Posh Medica Probiotics C Hair พอช เมดิก้า โพรไบโอติก ซี แฮร์ [6 ซอง][MC Plus แมค พลัส เดิม],Posh Medica,Posh Medica,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8971|8974,1155.0,719.0,37.7,THB,418,418 ชิ้น,4.98,163,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i4889065040.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,4977525066,20968794966,Labbiome Probiotics 2 กล่อง - โปรไบโอติก จุลินทรีย์ชนิดดี,LABLIBRARY,LABLIBRARY,lablibraryofficial,100438912112,Supplements,All Probiotic (search),10100869|4087|8977|8982,1380.0,1230.0,10.9,THB,406,406 ชิ้น,4.99,165,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i4977525066.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5747117514,24485286225,DLACTO PROBIOTIC ดีแลคโตะ โพรไบโอติกที่ได้จากธรรมชาติ กระตุ้นการขับถ่าย ลําไส้ดี...ชีวิตดี๊ดีย์ (ใหม่),MANA,MANA,MANA NATURE,100462080924,Supplements,All Probiotic (search),10100869|4087|8977|8982,2760.0,990.0,64.1,THB,298,298 ชิ้น,4.98,154,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5747117514.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,16059607027,126403242234,Life Plus ProBio18 [2g x 20 Sachets] ไลฟ์ พลัส ผลิตภัณฑ์เสริมอาหาร โพรไบโอ18,life plus,life plus,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,320.0,309.0,3.4,THB,256,256 ชิ้น,5.0,68,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i16059607027.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5917035508,25323752522,Bomi 20.10 Advance Probio+ โบมิ แอดวานซ์ โพรไบโอ พลัส [14 ซอง] โพรไบโอติกส์ โพรไบโอติก โปรไบโอติก ซอง,Bomi,Bomi,Bestpricepricevitamin,1599,Supplements,All Probiotic (search),10100869|4087|8977|8982,620.0,409.0,34.0,THB,222,222 ชิ้น,5.0,48,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i5917035508.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,16118159428,127204259396,Love Pet Prosper โปรไบโอติกสุนัข แมว บํารุงลําไส้ ช่วยย่อยอาหาร ขนมเสริมสุขภาพสัตว์เลี้ยง 100เม็ด,LOVE PET PROSPER,LOVE PET PROSPER,LOVE PET PROSPER,101451648419,Supplements,All Probiotic (search),6277|10100888|62114802|62114803,340.0,99.0,70.9,THB,141,141 ชิ้น,5.0,43,yes,no,ปทุมธานี,https://www.lazada.co.th/products/pdp-i16118159428.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5565337600,23673299886,CEO Factory 10 Probiotics 20 Sachets ซีอีโอ แฟคตอรี่ ผลิตภัณฑ์เสริมอาหาร โพรไบโอติก โปรไบโอติก EXP.01/2027,CEO,CEO,ksYW5fNk,100265127190,Supplements,All Probiotic (search),10100869|4087|8977|8982,999.0,208.0,79.2,THB,90,90 ชิ้น,4.94,17,yes,no,สมุทรปราการ,https://www.lazada.co.th/products/pdp-i5565337600.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5024055902,21238947335,FLORACTO Probiotics 14 Capsules ฟลอแรคโต โปรไบโอติก Probiotic,Sandoz,Sandoz,คลังวิตามิน.เอสเคพี,100584656086,Supplements,All Probiotic (search),10100869|4087|8977|8982,169.0,169.0,0.0,THB,87,87 ชิ้น,5.0,5,yes,no,ชลบุรี,https://www.lazada.co.th/products/pdp-i5024055902.html,catalog|probiotic,2026-09-03T12:28:28
2026-09-03,lazada,5946142821,25504871765,KIO Probiotic Dietary Supplement Product 20 Sachets ผลิตภัณฑ์อาหารเสริม คิโอ เอส โพรไบโอติก,Konvy,Konvy,Konvy,1000147187,Supplements,All Probiotic (search),10100869|4087|8977|8981,590.0,412.0,30.2,THB,85,85 ชิ้น,5.0,31,yes,no,กรุงเทพมหานคร,https://www.lazada.co.th/products/pdp-i5946142821.html,catalog|probiotic,2026-09-03T12:28:28
