date,prev_date,platform,item_id,product_name,brand_name,seller_name,subcategory,prev_retail,retail_price,prev_promo,promo_price,promo_change,promo_change_pct,prev_discount_pct,discount_pct,discount_pct_change,units_sold_delta,status,promo_event,variant_changed,prev_sku_id,sku_id,url
2026-09-18,2026-09-17,lazada,5959839023,Berry S Detox เบอร์รี่ เอส ดีท็อกซ์ ช่วยทําให้ระบบเลือดสะอาด ล้างสารพิษในร่างกาย บํารุงผิว1กล่อง15ซอง,SAPP888 (แซฟ888),Careyourstore,Detoxification,1250.0,,790.0,,,,36.8,,,,gone,n/a,no,,25591152498,https://www.lazada.co.th/products/pdp-i5959839023.html
2026-09-18,2026-09-17,lazada,5961862413,Floracto Probiotic ขนาด 14 แคปซูล 15650,Unbranded,MediHubz,Digestive Care,165.0,,165.0,,,,0.0,,,,gone,n/a,no,25605135365,25605135365,https://www.lazada.co.th/products/pdp-i5961862413.html
2026-09-18,2026-09-17,lazada,5969919748,SALE🔥แท้💯% สูตรใหม่ แพ็คเกจใหม่! ฉลากไทย Plantae Apple Cider Vinegar Unfiltered with the Mother กระปุก 30 แคปซูล แบบเม็ด แอปเปิ้ลไซเดอร์ ACV วีเนการ์ แพลนเต้,Plantae,PastelCandy,Detoxification,419.0,,419.0,,,,0.0,,,,gone,n/a,no,,126984202374,https://www.lazada.co.th/products/pdp-i5969919748.html
2026-09-18,2026-09-17,lazada,5970894946,Yakult BL Intestinal Regulator 36bags. จุลินทรีย์เพื่อสุขภาพ โพรไบโอติก บํารุงลําไส้ ระบบย่อยอาหาร,Yakult,Nagomiya,Detoxification,520.0,,503.3,,,,3.2,,,,gone,n/a,no,25657316903,25657316903,https://www.lazada.co.th/products/pdp-i5970894946.html
2026-09-18,2026-09-17,lazada,5971798987,พรูฟพลัส โพรไบโอติกส์กล่องส้ม | ภูมิคุ้มกัน ภูมิแพ้ PM2.5 อร่อย ทานง่าย เด็กทานได้ | รสชาติแอปเปิ้ล | prove+ Allerpro,Prove+,Prove+_TH,Immunity,390.0,,390.0,,,,0.0,,,,gone,n/a,no,126731538749,126731538749,https://www.lazada.co.th/products/pdp-i5971798987.html
2026-09-18,2026-09-17,lazada,5972833199,รีเวอร์เซ่By รีเวร่า โพรไบโอติก พลัส เอลเดอร์เบอร์รี่ 7 กล่อง,รีเวอร์เซ่ reverze,รีเวร่า,Multivitamins,5950.0,,5164.0,,,,13.2,,,,gone,n/a,no,25672200442,25672200442,https://www.lazada.co.th/products/pdp-i5972833199.html
2026-09-18,2026-09-17,lazada,5976106651,โปรไบโอติก-แลคโตบาซิลลัสGG แลคท็อกก์ โปรไบโอติก สุขภาพทางเดินอาหาร,Unbranded,NUHS,Detoxification,1600.0,,1600.0,,,,0.0,,,,gone,n/a,no,25691247644,25691247644,https://www.lazada.co.th/products/pdp-i5976106651.html
2026-09-18,2026-09-17,lazada,5977335544,Yogobiotic pro โปรโมชั่น 4 กล่อง อาหารเสริมพรีไบโอติก โพรไบโอติก และ โพสไบโอติก ครบจบในซองเดียว,Unbranded,Yogothailand,Digestive Care,1960.0,,1257.0,,,,35.9,,,,gone,n/a,no,25697561764,25697561764,https://www.lazada.co.th/products/pdp-i5977335544.html
2026-09-18,2026-09-17,lazada,5982697682,PHYTOVY DETOX ไฟโตวี่ ดีท็อกซ์ แท้100%,Successmore,Careyourstore,Detoxification,1250.0,,1060.0,,,,15.2,,,,gone,n/a,no,25725600891,25725600891,https://www.lazada.co.th/products/pdp-i5982697682.html
2026-09-18,2026-09-17,lazada,5984110321,[เซ็ต] ชุดบํารุงข้อเข่าและลําไส้ UC-II Plus Collagen Tripeptide + Probiotics 60B+,Body Shape,Body Shape,Multivitamins,1000.0,,1000.0,,,,0.0,,,,gone,n/a,no,25734112196,25734112196,https://www.lazada.co.th/products/pdp-i5984110321.html
2026-09-18,2026-09-17,lazada,5988478738,(1เเพ็ค×10ซอง) Woonae Probio Fiber & Dtx 20g / Colla & Gluta 20g / Kombucha Lychee 20g วูเน่ อาหารเสริม,woonae,Thanawat-Wanglang,Detoxification,199.0,,199.0,,,,0.0,,,,gone,n/a,no,25760679395,25760679395,https://www.lazada.co.th/products/pdp-i5988478738.html
2026-09-18,2026-09-17,lazada,6002762136,(ของแท้ 100%) แอ็กซ์ชั่น Axtion ลดกรดไหลย้อน ช่วยย่อย แสบร้อนกลางอก (1กล่อง 14แคปซูล),Axtion brand Thailand,Healthy Wealthy Hub,Detoxification,750.0,,750.0,,,,0.0,,,,gone,n/a,no,25852899891,25852899891,https://www.lazada.co.th/products/pdp-i6002762136.html
2026-09-18,2026-09-17,lazada,6008387523,วูม่า บาลานซ์ โพรไบโอติก กล่องเล็ก 7 ซอง,Unbranded,Saruda LaiLa12,Detoxification,159.0,,159.0,,,,0.0,,,,gone,n/a,no,25929795201,25929795201,https://www.lazada.co.th/products/pdp-i6008387523.html
2026-09-18,2026-09-17,lazada,6013445813,โฟร์ไบโอติกป๊อบ แบรนด์ยามีโต๊ะLlamito ผลิตภัณฑ์อาหารเสริมขนาดหนึ่งกล่องมี 14 ซอง,Llamito (ยามิโตะ),PHUONG PHA,Detoxification,390.0,,290.0,,,,25.6,,,,gone,n/a,no,25953344838,25953344838,https://www.lazada.co.th/products/pdp-i6013445813.html
2026-09-18,2026-09-17,lazada,6013516363,Llamito โฟร์ไบโอติกป๊อบ ผลิตภัณฑ์อาหารเสริม แบรนด์ยามีตุ๊ หนึ่งกล่องมี 14 ซอง,Llamito (ยามิโตะ),PHUONG PHA,Detoxification,390.0,,290.0,,,,25.6,,,,gone,n/a,no,25953355687,25953355687,https://www.lazada.co.th/products/pdp-i6013516363.html
2026-09-18,2026-09-17,lazada,6017112996,【ส่วนลด】Woma' Balance ผลิตภัณฑ์เสริมอาหาร โพรไบโอติก 17 ชนิด บาลานซ์ระบบภูมิคุ้มกัน รสกิทชิ,Unbranded,shoucaoy15,Women's Health,219.0,,173.0,,,,21.0,,,,gone,n/a,no,25983825439,25983825439,https://www.lazada.co.th/products/pdp-i6017112996.html
2026-09-18,2026-09-17,lazada,6020550219,Softher Probiotic Supplement Capsules ส่งเสริมสุขภาพทางเดินอาหาร ช่วยขับถ่าย ปรับสมดุลลําไส้ 120 แคปซูล โปรไบโอติก อาหารเสริม,ESH,ESH-th,Digestive Care,1595.0,,223.3,,,,86.0,,,,gone,n/a,no,26028397749,26028397749,https://www.lazada.co.th/products/pdp-i6020550219.html
2026-09-18,2026-09-17,lazada,6022624227,Swisse Ultiboost Iron + Probiotic 30 Tablets ธาตุเหล็ก + โปรไบโอติก 2 พันล้าน CFU,Swisse,Multy Beauty Store,Digestive Care,790.0,,575.0,,,,27.2,,,,gone,n/a,no,,26016410043,https://www.lazada.co.th/products/pdp-i6022624227.html
2026-09-18,2026-09-17,lazada,6033901709,RAY SOR BALANCE PROBIOTICS เร ซอร์ บาลานซ์ พลัส โพรไบโอติกส์ ปรับสมดุลลําไส้ จุดซ่อนเร้น (ผงกรอกปาก),Unbranded,Yourcosmetic,Women's Health,255.0,,255.0,,,,0.0,,,,gone,n/a,no,26144505246,26144505246,https://www.lazada.co.th/products/pdp-i6033901709.html
2026-09-18,2026-09-17,lazada,6034004589,เร ซอร์ บาลานซ์ โพรไบโอติก พลัส RAY SOR BALANCE PROBIOTIC+ ปรับสมดุลลําไส้ (30 ซอง/กล่อง),Unbranded,Favor8,Women's Health,255.0,,255.0,,,,0.0,,,,gone,n/a,no,26145498795,26145498795,https://www.lazada.co.th/products/pdp-i6034004589.html
2026-09-18,2026-09-17,lazada,6034233665,Cranbiotic plus แครนไบโอติก โพรไบโอติกส์ (15 ซอง/กล่อง),Unbranded,Favor8,Women's Health,300.0,,300.0,,,,0.0,,,,gone,n/a,no,26148089727,26148089727,https://www.lazada.co.th/products/pdp-i6034233665.html
2026-09-18,2026-09-17,lazada,6054292216,[6กล่อง] โพรไบโอติกส์ หมอเจด (Dr.JADE) ผลิตภัณฑ์เสริมอาหาร ฟื้นฟูลําไส้จากภายใน ระบบลําไส้กลับมาทํางานเป็นจังหวะ,Unbranded,Dr.Jadehealth,Immunity,5290.0,,4170.0,,,,21.2,,,,gone,n/a,no,26267771922,26267771922,https://www.lazada.co.th/products/pdp-i6054292216.html
2026-09-18,2026-09-17,lazada,6057519941,โปรไบโอติก สําหรับผู้หญิง Fem Flora Probiotic For Women 60 Vegan Capsules (Swanson®),Swanson,iBody Thailand,Women's Health,1400.0,,1098.0,,,,21.6,,,,gone,n/a,no,26286159220,26286159220,https://www.lazada.co.th/products/pdp-i6057519941.html
2026-09-18,2026-09-17,lazada,6060405515,[1แถม1] คลอโรฟิลล์มายมิ้น คลอโรฟิลล์พลัส ลิควิด (ตรา เซอร์น่า) ผงผักมายมิ้น ผงผักพลัส ของแท้จากบริษัท ไฟเบอร์,Unbranded,ไกด์ช๊อปขายส่งถูก,Detoxification,390.0,,139.0,,,,64.4,,,,gone,n/a,no,26295851966,26295851966,https://www.lazada.co.th/products/pdp-i6060405515.html
2026-09-18,2026-09-17,lazada,6061457617,[มิติใหม่]Woma' Balance Probiotic ผลิตภัณฑ์เสริมอาหารสําหรับผู้หญิง | คืนสมดุลให้ร่างกาย [100% Satisfaction Guarantee] CAlqLFKB,Unbranded,5ekSwQK0,Women's Health,224.0,,224.0,,,,0.0,,,,gone,n/a,no,26299580988,26299580988,https://www.lazada.co.th/products/pdp-i6061457617.html
2026-09-18,2026-09-17,lazada,6061522821,[เจลลี่ไฟเบอร์ใหม่] WINK WHITE FIBER JELLY เจลลี่ไฟเบอร์ 6 สูตร ดีท็อกซ์ลําไส้ ขับถ่าย (1 กล่อง 7 ซอง)*สูตรใหม่,Unbranded,ShopONsale by W&P,Detoxification,199.0,,179.0,,,,10.1,,,,gone,n/a,no,26300046080,26300046080,https://www.lazada.co.th/products/pdp-i6061522821.html
2026-09-18,2026-09-17,lazada,6070410583,Life Extension Digestive Enzymes Probiotics 60 แคปซูล Vegan Version #GutHealth,Life Extension,VivoLabs,Immunity,992.0,,592.0,,,,40.3,,,,gone,n/a,no,26392918008,26392918008,https://www.lazada.co.th/products/pdp-i6070410583.html
2026-09-18,2026-09-17,lazada,6071816942,Exp: 12/2026 IsoFresh Vaginal Probiotic จาก Fairhaven Health30 Capsules,Fairhaven health,Ounyalukdarun,Women's Health,1500.0,,1150.0,,,,23.3,,,,gone,n/a,no,26407272100,26407272100,https://www.lazada.co.th/products/pdp-i6071816942.html
2026-09-18,2026-09-17,lazada,6072443378,โซ่ ไฟเบอร์ ดีท็อกซ์ ของแท้ [ สูตรพลัส ] ดีท็อกซ์ Lishou Fiber [ ไฟเบอร์ ดีท็อกซ์ รสองุ่น ] บรรจุ 10 ซอง เลขจดจแ้งอย. 131-1-3465-5-0023,Lishou,M ONE SHOP_1,Detoxification,215.0,,119.0,,,,44.7,,,,gone,n/a,no,26412660264,26412660264,https://www.lazada.co.th/products/pdp-i6072443378.html
2026-09-18,2026-09-17,lazada,6072632090,โซ่ ไฟเบอร์ ดีท็อกซ์ ของแท้ [ สูตรพลัส ] ดีท็อกซ์ Lishou Fiber [ ไฟเบอร์ ดีท็อกซ์ รสแอปเปิ้ล ] บรรจุ 10 ซอง เลขจดแจ้งอย. 13-1-13465-5-0037,Lishou,M ONE SHOP_1,Detoxification,253.0,,119.0,,,,53.0,,,,gone,n/a,no,26412309599,26412309599,https://www.lazada.co.th/products/pdp-i6072632090.html
2026-09-18,2026-09-17,lazada,6078219089,[แพ็ก 6 ซอง] (พอช) เจลลี่ ลีพ 32 กรัม/เจลลี่ บลาดี้ โพรไบโอติก 32 กรัม Posh Medica Jelly Lady Probiotics/Jelly Leep,Posh,ร้านค้าเตยเตย,Well Being Sets,219.0,,219.0,,,,0.0,,,,gone,n/a,no,,26476887044,https://www.lazada.co.th/products/pdp-i6078219089.html
2026-09-18,2026-09-17,lazada,722822717,new package 📌 BETA GLUCAN เบต้ากลูแคน จากยีสต์ขนมปัง Red Yeast Rice ม.เกษตร 1 กระปุก บรรจุ 60 แคปซูล,BENE,ChaNana Shop,Detoxification,1490.0,,900.0,,,,39.6,,,,gone,n/a,no,1384524425,1384524425,https://www.lazada.co.th/products/pdp-i722822717.html
2026-09-18,2026-09-17,lazada,16264183471,แคปซูลนิ่มโปรไบโอติก Nordic Naturals 50 พันล้าน CFU ช่วยปกป้องบริเวณจุดซ่อนเร้น ระบบย่อยอาหาร และระบบภูมิคุ้มกัน สนับสนุนสุขภาพของผู้หญิง,Unbranded,Double Pure,Women's Health,547.0,150.0,203.0,50.0,-153.0,-75.4,62.9,66.7,3.8,,variant_switch,deepened,yes,127560595880,127560595879,https://www.lazada.co.th/products/pdp-i16264183471.html
2026-09-18,2026-09-15,lazada,16276230194,Prozeus Pink ผลิตภัณฑ์เสริมอาหารโพรไบโอติกสูตรเฉพาะสําหรับผู้หญิง บํารุงผิวพรรณ (10ซอง/30ซอง),Prozeus,P4UShop,Women's Health,1200.0,330.0,1200.0,330.0,-870.0,-72.5,0.0,0.0,0.0,,variant_switch,none,yes,127599091923,127599091922,https://www.lazada.co.th/products/pdp-i16276230194.html
2026-09-18,2026-09-17,lazada,5969809710,RD+ อาร์ดีพลัส โพรไบโอติกส์ ผสมพรีไบโอติก Oral Plus Probiotics Shot (ผลิตภัณฑ์เสริมอาหาร),Unbranded,GloryBeauty,Digestive Care,765.0,349.0,765.0,249.0,-516.0,-67.5,0.0,28.7,28.7,3.0,variant_switch,started,yes,25650698333,25650698331,https://www.lazada.co.th/products/pdp-i5969809710.html
2026-09-18,2026-09-17,lazada,5426867095,วิตามินคุณแม่ นวัตกรรมจากญี่ปุ่นและอเมริกา สูตรเสริมธาตุเหล็กโฟลิคและโพรไบโอติกส์ TOP8FREE SynBio+ Complete,Unbranded,MamaSecret Family,Multivitamins,650.0,550.0,650.0,550.0,-100.0,-15.4,0.0,0.0,0.0,0.0,variant_switch,none,yes,26481798890,26481798889,https://www.lazada.co.th/products/pdp-i5426867095.html
2026-09-18,2026-09-17,lazada,5604659102,KARAN W Probiotic เพื่อผู้หญิง(1แถม1) โพรไบโอติก12สายพันธุ์+พรีไบโอติก3+Fiber3 ปรับสมดุลจุดซ่อนเร้น,Unbranded,KARA SKIN Official,Women's Health,898.0,898.0,705.0,715.0,10.0,1.4,21.5,20.4,-1.1,0.0,variant_switch,shallower,yes,126332786463,23844590315,https://www.lazada.co.th/products/pdp-i5604659102.html
2026-09-18,2026-09-17,lazada,5591625548,KARAN Probiotic(สู้PM2.5+ปรับสมดุลลําไส้)โพรไบโอติก12สายพันธุ์+พรีไบโอติก3+Fiber3 ภูมิแพ้ กรดไหลย้อน สุขภาพดีจากภายใน,Unbranded,KARA SKIN Official,All Probiotic (search),389.0,399.0,354.0,364.0,10.0,2.8,9.0,8.8,-0.2,1.0,variant_switch,none,yes,126313625748,23796053041,https://www.lazada.co.th/products/pdp-i5591625548.html
